Product,Category,Stock Level,Lead Time (Days),Unit Cost,Monthly Demand,Supplier Rating,Defect Rate
Headphones Pro X,Headphones,150,14,89.99,320,4.8,0.02
Wireless Earbuds Plus,Earbuds,280,7,59.99,580,4.6,0.015
Studio Monitor 8",Speakers,85,21,299.99,120,4.9,0.01
Portable Speaker Mini,Speakers,210,10,49.99,450,4.7,0.025
USB Microphone Pro,Microphones,175,12,129.99,280,4.5,0.018
Gaming Headset Elite,Headphones,195,9,79.99,390,4.4,0.022
Bass Subwoofer X1,Speakers,60,25,399.99,75,4.8,0.012
Noise-Canceling Elite,Headphones,120,15,199.99,220,4.7,0.015
Podcast Mic Bundle,Microphones,95,11,149.99,180,4.6,0.02
True Wireless Sport,Earbuds,250,8,69.99,420,4.5,0.025
Studio Headphones Pro,Headphones,110,16,249.99,160,4.9,0.008
Compact Speaker X3,Speakers,180,13,89.99,290,4.6,0.021
Voice Mic Classic,Microphones,140,10,79.99,230,4.4,0.019
Premium IEMs,Earbuds,90,18,179.99,140,4.8,0.011
DJ Monitor Phones,Headphones,130,14,159.99,200,4.7,0.016
